Type,Name,Floorplan,Breakable,Cookable,Dirtyable,Fillable,Moveable,Openable,Pickupable,Receptacle,Sliceable,Toggleable,CanUseUp,ChangeTempHot,ChangeTempCold,Mass,SalientMaterials,CompatibleReceptacles
StoveBurner,StoveBurner_90a47a45,1,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Drawer,Drawer_5e387f7f,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Drawer,Drawer_9d2b3ad1,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
StoveBurner,StoveBurner_ab505bab,1,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Drawer,Drawer_18b84f39,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
CounterTop,CounterTop_bafd4140,1,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_deb040a8,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
CounterTop,CounterTop_c83f4e59,1,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
StoveBurner,StoveBurner_b7865068,1,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Drawer,Drawer_cbfc0458,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Drawer,Drawer_23503746,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_242ff8ff,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
StoveKnob,StoveKnob_0082d1cf,1,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
Drawer,Drawer_badab232,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
StoveBurner,StoveBurner_41e8e219,1,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Window,Window_28489b94,1,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,None,None
StoveKnob,StoveKnob_8dd4e2fd,1,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
Sink,Sink_1464872c,1,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,None,None
StoveKnob,StoveKnob_5e53d5ec,1,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
Cabinet,Cabinet_2b789559,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Drawer,Drawer_fb00b65a,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_d332c18d,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_60ab5497,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_742b34de,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Floor,Floor_cc38bd03,1,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,Wood,None
Cabinet,Cabinet_5e0161e9,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Drawer,Drawer_62182f57,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
StoveKnob,StoveKnob_a95ae457,1,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
Cabinet,Cabinet_f9038229,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Book,Book_3d15d052,1,False,False,False,False,False,True,True,False,False,False,False,False,False,0.5,Paper,"Sofa, ArmChair, Box, Ottoman, Dresser, Desk, Bed, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, Drawer"
Drawer,Drawer_1d5beb62,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_aa8596f8,1,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
CounterTop,CounterTop_d7cc8dfe,1,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
Bottle,Glassbottle_a6112717,1,True,False,False,True,False,False,True,False,False,False,False,False,False,0.20000000298023224,Glass,"Fridge, Box, Dresser, Desk, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, GarbageCan"
Knife,Knife_9213a3e1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0.18000000715255737,"Metal, Plastic","Pot, Pan, Bowl, Mug, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer"
Microwave,Microwave_b200e0bc,1,False,False,False,False,True,True,False,True,False,True,False,True,False,6.999999523162842,"Metal, Glass",None
Bread,Bread_a13c4e42,1,False,False,False,False,False,False,True,False,True,False,False,False,False,0.699999988079071,Food,"Microwave, Fridge, DiningTable, TVStand, CoffeeTable, SideTable, Desk, CounterTop, GarbageCan, Plate"
Fork,Fork_4fd82f45,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0.03999999910593033,Metal,"Pot, Pan, Bowl, Mug, Plate, Cup, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer"
Shelf,Shelf_62039e30,1,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
Potato,Potato_2974d22d,1,False,True,False,False,False,False,True,False,True,False,False,False,False,0.18000000715255737,Food,"Pot, Pan, Bowl, Microwave, Fridge, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, GarbageCan"
HousePlant,HousePlant_42ad2a02,1,False,False,False,True,True,False,False,False,False,False,False,False,False,3.0,"Ceramic, Organic",None
Toaster,Toaster_6030edce,1,False,False,False,False,True,False,False,True,False,True,False,True,False,5.0,Metal,None
SoapBottle,SoapBottle_b17f0525,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4000000059604645,"Glass, Metal","Dresser, Desk, Toilet, Cart, Bathtub, Sink, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, Drawer, GarbageCan"
Kettle,Kettle_c1f85c6e,1,False,False,False,True,False,True,True,False,False,False,False,False,False,0.800000011920929,"Metal, Plastic","DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Sink, SinkBasin, Cabinet, StoveBurner, Shelf"
Shelf,Shelf_cb297b6a,1,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
Pan,Pan_da081f05,1,False,False,True,False,False,False,True,True,False,False,False,False,False,0.6700000166893005,Metal,"DiningTable, CounterTop, TVStand, CoffeeTable, SideTable, Sink, SinkBasin, Cabinet, StoveBurner, Fridge"
Plate,Plate_95e69397,1,True,False,True,False,False,False,True,True,False,False,False,False,False,0.6200000047683716,Ceramic,"Microwave, Fridge, Dresser, Desk, Sink, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
Tomato,Tomato_7d6fd278,1,False,False,False,False,False,False,True,False,True,False,False,False,False,0.11999998986721039,Food,"DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Sink, SinkBasin, Pot, Bowl, Fridge, GarbageCan, Plate"
Vase,Vase_2da5e7a5,1,True,False,False,False,False,False,True,False,False,False,False,False,False,1.0,Glass,"Box, Dresser, Desk, Cart, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, Safe"
GarbageCan,GarbageCan_dd6cf8f2,1,False,False,False,False,True,False,False,True,False,False,False,False,False,0.699999988079071,Plastic,None
Egg,Egg_cf1753df,1,True,False,False,False,False,False,True,False,True,False,False,False,False,0.054999999701976776,Food,"Pot, Pan, Bowl, Microwave, Fridge, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, GarbageCan"
CreditCard,CreditCard_acee2f3e,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0.005999999586492777,Plastic,"Sofa, ArmChair, Box, Ottoman, Dresser, Desk, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, Drawer, Shelf"
WineBottle,WineBottle_0e9c1ce8,1,True,False,False,True,False,False,True,False,False,False,False,False,False,1.2000000476837158,Glass,"Fridge, Dresser, Desk, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, GarbageCan"
Pot,Pot_d7312b91,1,False,False,True,True,False,False,True,True,False,False,False,False,False,0.5699999928474426,Metal,"StoveBurner, Fridge, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
Spatula,Spatula_1e83453b,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0.06499999761581421,"Metal, Plastic","Pot, Pan, Bowl, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer"
PaperTowelRoll,PaperTowelRoll_a1e47ced,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2199999988079071,Paper,None
Cup,Cup_8b4c228c,1,True,False,True,True,False,False,True,True,False,False,False,False,False,0.4000000059604645,Glass,"Microwave, Fridge, Dresser, Desk, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
Vase,Vase_d661eeca,1,True,False,False,False,False,False,True,False,False,False,False,False,False,1.0,Ceramic,"Box, Dresser, Desk, Cart, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, Safe"
Shelf,Shelf_cdcc01aa,1,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
Fridge,Fridge_4e5ce42a,1,False,False,False,False,False,True,False,True,False,False,False,False,True,0.0,None,None
CoffeeMachine,CoffeeMachine_ed06e3d1,1,False,False,False,False,True,False,False,True,False,True,False,True,False,5.0,Plastic,None
Bowl,Bowl_e8075710,1,True,False,True,True,False,False,True,True,False,False,False,False,False,0.4699999988079071,Ceramic,"Microwave, Fridge, Dresser, Desk, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
SinkBasin,SinkBasin_7db967d1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
SaltShaker,SaltShaker_e142145f,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4000000059604645,"Metal, Glass","DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer, Cabinet, Shelf"
PepperShaker,PepperShaker_e5dac52a,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0.14000000059604645,"Metal, Glass","DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer, Cabinet, Shelf"
Lettuce,Lettuce_b97186e2,1,False,False,False,False,False,False,True,False,True,False,False,False,False,0.4699999988079071,Food,"Pot, Pan, Bowl, Fridge, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, GarbageCan"
ButterKnife,ButterKnife_cb56c43b,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0.07999999821186066,Metal,"Pot, Pan, Bowl, Mug, Plate, Cup, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, Desk, CounterTop, Drawer"
Apple,Apple_34d5f204,1,False,False,False,False,False,False,True,False,True,False,False,False,False,0.20000000298023224,Food,"Pot, Pan, Bowl, Microwave, Fridge, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, Desk, CounterTop, GarbageCan, Dresser"
DishSponge,DishSponge_1be9f13b,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0.029999997466802597,Sponge,"Pot, Pan, Bowl, Plate, Box, Toilet, Cart, Cart, BathtubBasin, Bathtub, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, Drawer, GarbageCan"
Spoon,Spoon_b76dffe8,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0.03999999910593033,Metal,"Pot, Pan, Bowl, Mug, Plate, Cup, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer"
LightSwitch,LightSwitch_9dedd91c,1,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
Mug,Mug_77db6e4d,1,True,False,True,True,False,False,True,True,False,False,False,False,False,1.0,Ceramic,"SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
ShelvingUnit,ShelvingUnit_4aa7ccd6,1,False,False,False,False,True,False,False,False,False,False,False,False,False,22.0,Wood,None
Statue,Statue_150f16e9,1,True,False,False,False,False,False,True,False,False,False,False,False,False,1.0,Stone,"Box, Dresser, Desk, Cart, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, Safe"
Stool,Stool_95215acf,1,False,False,False,False,True,False,False,True,False,False,False,False,False,3.180000066757202,Wood,None
Stool,Stool_f121b870,1,False,False,False,False,True,False,False,True,False,False,False,False,False,3.180000066757202,Wood,None
Faucet,Faucet_198329de,1,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
Cabinet,Cabinet_debb2107,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Window,Window_f3201802,2,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,None,None
Drawer,Drawer_07ae8516,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
StoveBurner,StoveBurner_cbb39264,2,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Drawer,Drawer_2dfd73f9,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Drawer,Drawer_bd186523,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Drawer,Drawer_85c95736,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
StoveBurner,StoveBurner_92e8b125,2,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Cabinet,Cabinet_c306b4ef,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_543c1808,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_fa78ae35,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_4344e1f2,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Drawer,Drawer_9acf1d27,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Drawer,Drawer_eae1bd6d,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_0ff2254b,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Drawer,Drawer_39e42246,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
StoveBurner,StoveBurner_c1c0de85,2,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Drawer,Drawer_de38c694,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
StoveBurner,StoveBurner_98e15632,2,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Drawer,Drawer_1dc87e35,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_dd0dadee,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
CounterTop,CounterTop_8f576980,2,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
Drawer,Drawer_82bbe621,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_613b3391,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
StoveBurner,StoveBurner_b26a250c,2,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Drawer,Drawer_9863fcfd,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Sink,Sink_b29c6436,2,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,None,None
Drawer,Drawer_63a2e610,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Window,Window_66418bd2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,None,None
Floor,Floor_0e01fcfd,2,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,Ceramic,None
CounterTop,CounterTop_9deb677b,2,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
Drawer,Drawer_ee45d4d5,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
StoveBurner,StoveBurner_dabd9a17,2,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Window,Window_728f89cc,2,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_b8bd1dfd,2,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
SoapBottle,SoapBottle_9a83652c,2,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4000000059604645,Plastic,"Dresser, Desk, Toilet, Cart, Bathtub, Sink, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, Drawer, GarbageCan"
Cup,Cup_dc95d5e8,2,False,False,True,True,False,False,True,True,False,False,False,False,False,0.4000000059604645,Plastic,"Microwave, Fridge, Dresser, Desk, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
LightSwitch,LightSwitch_72dc5d13,2,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
Pot,Pot_6ba0c538,2,False,False,True,True,False,False,True,True,False,False,False,False,False,0.5699999928474426,Metal,"StoveBurner, Fridge, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
GarbageCan,GarbageCan_a263d8c9,2,False,False,False,False,True,False,False,True,False,False,False,False,False,0.699999988079071,Plastic,None
StoveKnob,StoveKnob_ff298767,2,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
StoveKnob,StoveKnob_b6289931,2,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
StoveKnob,StoveKnob_dfa40698,2,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
StoveKnob,StoveKnob_81a1042a,2,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
StoveKnob,StoveKnob_91b77348,2,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
StoveKnob,StoveKnob_f9571e4d,2,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
Fork,Fork_e07d7873,2,False,False,False,False,False,False,True,False,False,False,False,False,False,0.03999999910593033,Metal,"Pot, Pan, Bowl, Mug, Plate, Cup, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer"
Ladle,Ladle_c72f2b24,2,False,False,False,False,False,False,True,False,False,False,False,False,False,0.07999999821186066,"Metal, Plastic","Pot, Pan, Bowl, Plate, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer"
Microwave,Microwave_a3a0e26a,2,False,False,False,False,True,True,False,True,False,True,False,True,False,6.999999523162842,"Metal, Glass",None
Kettle,Kettle_9d53679c,2,False,False,False,True,False,True,True,False,False,False,False,False,False,0.800000011920929,"Metal, Plastic","DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Sink, SinkBasin, Cabinet, StoveBurner, Shelf"
Egg,Egg_1c9b3b96,2,True,False,False,False,False,False,True,False,True,False,False,False,False,0.054999999701976776,Food,"Pot, Pan, Bowl, Microwave, Fridge, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, GarbageCan"
Plate,Plate_343544da,2,True,False,True,False,False,False,True,True,False,False,False,False,False,0.6200000047683716,Ceramic,"Microwave, Fridge, Dresser, Desk, Sink, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
Pan,Pan_2f38a984,2,False,False,True,False,False,False,True,True,False,False,False,False,False,0.6700000166893005,Metal,"DiningTable, CounterTop, TVStand, CoffeeTable, SideTable, Sink, SinkBasin, Cabinet, StoveBurner, Fridge"
Lettuce,Lettuce_7160ca93,2,False,False,False,False,False,False,True,False,True,False,False,False,False,0.4699999988079071,Food,"Pot, Pan, Bowl, Fridge, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, GarbageCan"
Spatula,Spatula_e77c4b4c,2,False,False,False,False,False,False,True,False,False,False,False,False,False,0.06499999761581421,"Metal, Plastic","Pot, Pan, Bowl, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer"
CoffeeMachine,CoffeeMachine_36ab8f54,2,False,False,False,False,True,False,False,True,False,True,False,True,False,5.0,Plastic,None
Fridge,Fridge_5dc2dd1b,2,False,False,False,False,False,True,False,True,False,False,False,False,True,0.0,None,None
Apple,Apple_9585f63f,2,False,False,False,False,False,False,True,False,True,False,False,False,False,0.20000000298023224,Food,"Pot, Pan, Bowl, Microwave, Fridge, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, Desk, CounterTop, GarbageCan, Dresser"
Knife,Knife_c4e30f36,2,False,False,False,False,False,False,True,False,False,False,False,False,False,0.18000000715255737,"Metal, Plastic","Pot, Pan, Bowl, Mug, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer"
SinkBasin,SinkBasin_ce3fbced,2,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
